Temperature Farenheit,Latitude,Cloudiness,Wind Speed,Humidity
78.8,-20.34,40,8.05,88
32.0,45.36,90,20.8,89
62.61,-33.21,20,9.44,73
37.4,42.65,20,11.41,45
84.71,-2.57,48,2.62,100
78.8,-22.97,20,18.34,61
57.2,-42.78,20,8.05,87
72.69,-11.1,0,5.75,68
64.4,38.52,40,11.41,93
53.61,-46.19,56,4.41,83
75.35,-10.07,0,3.96,55
57.2,-42.88,20,8.05,87
55.82,-1.64,48,2.39,71
44.6,33.99,0,2.73,70
59.37,15.01,0,3.62,54
72.56,-23.58,32,11.68,69
78.8,7.04,75,4.7,88
52.04,-34.42,0,3.62,95
53.6,-37.83,90,4.7,93
60.8,-53.16,0,25.28,31
28.4,65.61,80,17.22,39
78.8,22.89,5,10.29,53
50.0,47.55,40,8.05,87
5.0,69.44,75,6.93,84
82.19,-1.82,68,7.2,76
77.91,-8.35,80,2.06,100
52.94,-46.28,64,5.19,88
77.51,-19.55,68,17.49,100
35.06,39.31,1,8.05,60
62.61,-26.65,0,23.76,66
42.8,35.74,90,6.93,53
-8.22,69.7,44,1.83,100
-34.14,49.98,0,1.16,50
62.6,-54.81,40,9.17,23
35.6,47.39,90,5.82,100
18.51,52.85,80,6.98,100
48.2,46.75,75,5.82,70
79.31,-23.12,48,14.25,96
84.84,10.57,0,8.32,99
-17.4,68.75,68,5.97,76
78.5,-46.43,100,14.25,31
84.62,3.07,36,7.09,100
-29.91,70.62,24,8.66,50
70.53,-5.24,44,2.51,48
31.56,48.65,64,28.68,100
39.92,45.52,90,4.7,92
71.6,-13.71,0,8.05,30
78.08,22.08,90,21.92,64
74.9,-17.73,92,21.85,100
57.2,38.8,20,9.17,87
80.75,-9.8,0,16.04,100
62.6,-33.52,0,8.05,59
86.0,6.8,20,13.87,62
73.04,19.71,90,3.36,84
35.6,62.16,76,18.34,59
59.0,-34.53,8,3.36,82
3.2,68.22,75,3.36,84
69.05,-0.23,36,2.17,94
79.08,4.14,56,4.41,100
80.6,-0.74,20,9.17,54
15.8,45.62,1,14.99,61
-9.17,71.98,80,10.67,67
33.95,59.1,76,10.33,97
21.66,60.26,88,15.48,89
82.4,-3.71,40,10.29,78
26.34,29.85,8,1.95,70
58.83,-30.97,0,14.47,44
65.94,-39.76,0,2.95,87
70.49,-15.62,64,2.84,99
19.19,67.68,88,15.14,91
83.54,-29.69,0,6.98,41
82.55,-16.48,24,17.6,100
82.86,-26.98,44,2.84,69
67.56,6.54,8,2.73,75
79.76,-2.92,88,7.31,86
35.6,47.72,1,9.17,58
75.2,-16.92,75,18.34,94
-19.74,71.97,12,9.66,29
68.0,16.97,0,13.87,37
14.0,64.84,90,2.95,92
66.03,-33.59,76,6.98,94
63.33,20.52,0,7.2,26
78.09,18.47,8,18.5,100
12.2,64.42,40,22.37,61
83.36,-34.48,8,12.68,28
79.71,-43.3,68,7.65,27
-5.16,38.52,0,3.06,66
-22.94,52.21,0,2.84,32
62.79,-33.64,0,17.38,100
39.02,45.49,90,4.7,92
-39.45,71.64,0,7.65,0
33.8,43.26,20,12.75,68
66.57,-33.02,100,8.66,100
80.66,9.19,36,6.98,92
31.1,44.02,1,3.96,67
77.87,14.9,0,11.01,87
80.6,13.22,75,18.34,69
44.96,32.46,90,4.7,88
75.2,-11.5,0,16.11,64
25.17,50.68,64,4.41,100
78.8,-21.21,90,13.87,94
8.6,55.74,40,4.7,84
51.8,42.77,0,1.12,93
23.0,78.22,40,11.41,62
62.6,37.72,20,16.11,88
80.79,-38.31,88,11.01,35
30.2,59.77,40,8.95,86
-14.43,61.68,80,3.06,62
19.4,49.72,75,4.7,73
71.66,15.34,88,1.95,92
41.0,52.47,0,10.29,80
51.98,36.62,90,4.18,100
32.42,28.22,0,2.73,73
55.4,-42.48,90,19.46,93
81.47,-33.69,0,6.87,58
14.82,65.58,44,28.45,100
79.94,-14.25,0,4.52,96
57.2,38.18,0,4.7,67
32.64,49.87,56,9.89,92
19.4,62.45,75,11.41,85
53.6,34.19,75,6.93,76
26.52,60.14,12,5.75,92
76.97,7.98,24,15.37,98
48.2,51.8,40,10.29,75
87.8,10.99,20,13.87,62
55.4,-41.87,90,19.46,93
30.2,59.7,40,8.95,86
82.19,-0.6,92,11.01,100
39.02,34.34,75,8.05,69
33.8,70.86,75,12.75,100
15.86,34.57,80,1.5,88
84.2,10.24,40,14.99,62
33.8,35.73,0,5.82,74
73.32,-16.28,92,12.46,100
39.02,39.26,1,4.7,51
73.64,13.72,88,4.63,100
78.8,-8.83,75,9.17,74
78.54,5.35,20,14.92,85
70.89,-2.54,8,1.05,97
59.0,31.8,0,4.7,82
68.01,-39.94,0,5.75,60
58.38,-22.12,0,5.64,100
57.2,37.14,0,2.73,76
-2.21,63.75,90,8.05,70
17.6,49.79,90,6.93,85
78.98,21.35,1,11.41,54
73.86,-14.64,92,6.76,94
48.2,37.01,90,2.24,100
10.4,65.28,75,8.05,85
62.12,9.92,0,4.85,52
10.4,50.2,75,5.82,60
77.0,-25.24,44,9.17,47
42.32,37.91,92,1.95,96
57.2,37.18,0,5.41,76
77.06,-21.55,92,16.93,93
-33.02,54.44,12,2.39,51
73.19,-21.57,44,5.19,82
59.73,28.02,56,9.89,86
78.77,-0.92,68,2.73,100
85.02,-2.02,36,7.2,99
18.06,73.51,56,23.2,95
60.8,23.99,5,5.82,36
-16.55,48.81,20,3.18,64
85.16,-5.67,56,8.99,100
33.77,60.75,88,7.54,72
30.8,56.03,92,7.2,95
46.46,8.96,20,3.4,80
78.8,-20.41,40,8.05,88
70.67,-15.19,0,4.41,100
48.2,53.26,75,3.36,81
66.2,-28.95,90,3.36,100
-39.0,70.0,44,2.95,81
62.6,-32.49,40,12.75,82
64.4,-33.93,0,13.87,77
33.8,63.94,90,17.22,64
72.69,-7.54,88,2.95,99
50.0,37.47,0,1.12,93
30.2,55.1,40,6.93,63
78.8,25.27,0,9.17,54
-3.72,77.48,48,15.7,88
50.46,-46.13,80,3.4,100
49.38,-45.41,80,3.51,90
86.0,5.79,20,4.7,74
66.12,-5.1,100,2.17,94
76.97,7.99,0,3.96,60
-24.92,63.29,32,5.75,38
70.94,-24.69,92,4.18,96
75.2,13.22,40,2.24,88
5.73,60.91,36,4.74,69
81.42,9.34,36,13.02,100
39.02,42.03,1,4.7,69
-23.07,51.74,44,2.73,31
-32.39,66.77,48,7.43,57
77.06,3.17,80,2.95,89
64.4,38.28,40,20.8,72
86.0,18.44,20,17.22,66
93.44,-19.93,0,14.92,49
-22.01,70.47,5,3.36,74
70.22,20.93,0,6.42,52
76.56,7.71,88,6.76,100
-9.21,55.71,44,2.62,67
33.8,39.95,1,3.36,66
39.2,33.93,75,9.17,100
15.8,51.26,90,12.75,72
24.8,54.77,40,6.93,68
57.8,22.68,0,9.33,38
85.61,-36.62,8,10.22,23
77.28,-20.63,0,10.67,44
66.57,-20.08,100,1.95,96
51.8,31.68,0,6.93,87
55.37,-34.44,0,8.43,86
74.22,-0.5,0,2.39,100
67.74,-28.77,100,13.24,100
0.33,59.36,8,8.43,100
16.98,67.55,92,14.81,89
-29.1,49.2,0,3.4,44
9.65,35.75,44,2.73,68
72.42,8.64,92,2.39,99
5.19,65.8,88,8.21,76
39.2,63.59,90,13.87,55
26.34,68.05,56,15.03,91
41.0,58.89,75,19.46,80
80.6,-19.06,75,11.41,57
-2.73,56.95,56,5.19,86
68.0,-28.65,40,5.3,100
73.59,-2.68,68,2.73,97
21.2,37.57,0,3.36,66
86.0,13.64,40,6.93,62
-44.0,69.3,12,2.73,0
8.34,72.79,48,5.53,100
25.31,27.59,0,0.94,69
65.54,-15.92,92,9.66,96
67.16,-7.61,92,1.95,98
21.2,44.84,90,8.05,79
73.4,28.37,0,5.82,82
21.84,63.46,80,5.97,85
66.02,34.64,1,5.19,55
6.72,66.82,68,6.08,79
73.4,-31.97,92,12.75,56
65.81,-35.17,24,14.81,79
58.02,28.65,64,11.79,96
78.8,5.28,75,1.12,94
89.6,12.26,40,6.93,52
79.85,5.38,92,10.22,94
-29.64,52.47,8,1.61,42
66.2,-45.58,75,5.82,48
-8.13,53.78,0,5.08,64
23.0,59.2,75,6.71,92
74.72,11.0,56,8.66,92
75.2,-16.99,75,18.34,94
84.2,5.21,20,5.82,79
76.07,-6.6,48,1.28,92
60.8,27.87,0,17.22,50
8.6,69.22,0,5.82,60
35.6,63.84,90,20.8,80
30.92,43.97,90,3.29,68
50.28,34.7,68,17.27,100
-19.02,63.01,44,7.09,81
11.27,63.05,64,25.1,100
57.2,41.38,0,5.82,76
22.07,39.7,48,7.43,100
28.4,69.19,75,2.24,86
73.4,-7.84,0,12.75,73
65.27,-30.74,92,17.94,100
61.22,-42.72,64,1.95,98
78.32,10.93,12,10.67,97
76.56,-3.41,0,2.73,100
82.4,-20.31,76,8.05,69
61.4,-27.7,0,7.76,25
-4.08,69.38,56,22.64,92
41.0,44.7,0,8.95,93
72.11,19.0,0,3.18,46
65.09,-3.36,92,3.96,99
33.8,61.12,90,10.29,100
21.02,60.79,90,3.18,95
50.0,39.45,20,4.29,100
39.57,38.23,0,2.95,80
-10.25,61.28,68,7.99,69
35.6,50.41,90,8.95,100
53.96,37.46,90,5.82,86
77.0,-17.53,75,14.99,88
14.0,50.23,20,10.29,72
73.4,-20.01,90,14.99,94
71.6,-23.53,20,5.82,78
-16.61,53.6,20,1.39,75
78.63,4.27,24,3.74,79
68.0,28.66,20,10.29,77
71.84,17.48,100,18.16,100
64.4,-31.43,0,4.7,93
59.15,14.16,56,2.62,81
47.04,23.16,0,2.73,83
64.55,-12.02,44,5.64,96
21.44,35.17,8,2.95,73
77.0,-21.64,75,9.17,61
9.87,31.41,0,2.28,62
78.8,-19.98,40,8.05,88
61.94,-34.0,8,8.66,92
77.0,-28.24,0,13.87,47
62.6,24.09,0,6.93,33
82.46,-1.2,48,7.65,76
54.11,22.62,0,2.73,78
8.6,68.82,0,5.82,60
-16.61,64.73,12,20.13,75
14.51,66.83,88,13.24,90
78.8,6.33,40,9.33,94
81.51,-2.64,20,9.55,73
-8.09,39.23,56,2.39,53
51.8,41.18,0,23.04,57
77.51,7.38,32,6.64,38
68.24,14.36,36,2.73,89
33.5,51.24,80,7.43,98
83.58,-10.46,12,4.97,100
83.22,20.04,0,11.01,86
91.4,-2.03,20,9.17,49
50.0,45.6,90,5.82,87
73.82,5.43,36,2.95,95
57.2,-43.03,20,8.05,87
69.8,-29.95,0,16.11,60
81.92,6.46,0,9.78,80
82.77,11.28,0,6.2,96
16.71,51.05,68,20.51,100
26.97,27.3,80,3.18,91
-28.25,67.46,68,2.95,45
28.82,52.77,92,15.48,93
75.2,-12.06,0,16.11,64
77.0,14.29,20,3.36,83
78.95,9.49,12,16.49,100
62.6,37.73,20,16.11,88
53.6,27.18,0,9.17,66
59.0,18.39,0,2.73,82
69.8,-29.9,0,16.11,60
